artistId,artistName
ARTIST_TS,"Taylor Swift"
ARTIST_COLBIE_CAILLAT,"Colbie Caillat"
ARTIST_ED_SHEERAN,"Ed Sheeran"
ARTIST_GARY_LIGHTBODY,"Gary Lightbody"
ARTIST_FUTURE,"Future"
ARTIST_BRENDON_URIE,"Brendon Urie"
ARTIST_THE_CHICKS,"The Chicks"
ARTIST_BON_IVER,"Bon Iver"
ARTIST_HAIM,"HAIM"
ARTIST_THE_NATIONAL,"The National"
ARTIST_MAREN_MORRIS,"Maren Morris"
ARTIST_KEITH_URBAN,"Keith Urban"
ARTIST_PHOEBE_BRIDGERS,"Phoebe Bridgers"
ARTIST_CHRIS_STAPLETON,"Chris Stapleton"
ARTIST_FALL_OUT_BOY,"Fall Out Boy"
ARTIST_HAYLEY_WILLIAMS,"Hayley Williams"
ARTIST_LANA_DEL_REY,"Lana Del Rey"
ARTIST_POST_MALONE,"Post Malone"
ARTIST_FLORENCE_MACHINE,"Florence + the Machine"
