songId,canonicalTitle,originalEraId,notes
SONG_READY_FOR_IT,"...Ready for It?","ERA_REPUTATION",
SONG_22,"22","ERA_RED",
SONG_A_PERFECTLY_GOOD_HEART,"A Perfectly Good Heart","ERA_TS",
SONG_A_PLACE_IN_THIS_WORLD,"A Place in This World","ERA_TS",
SONG_AFTERGLOW,"Afterglow","ERA_LOVER",
SONG_ALL_TOO_WELL,"All Too Well","ERA_RED",
SONG_ALL_YOU_HAD_TO_DO_WAS_STAY,"All You Had to Do Was Stay","ERA_1989",
SONG_ANTI_HERO,"Anti-Hero","ERA_MIDNIGHTS",
SONG_AUGUST,"august","ERA_FOLKLORE",
SONG_BABE,"Babe","ERA_RED","From The Vault"
SONG_BACK_TO_DECEMBER,"Back to December","ERA_SPEAK_NOW",
SONG_BAD_BLOOD,"Bad Blood","ERA_1989",
SONG_BEAUTIFUL_EYES,"Beautiful Eyes","ERA_FEARLESS",
SONG_BEGIN_AGAIN,"Begin Again","ERA_RED",
SONG_BEJEWELED,"Bejeweled","ERA_MIDNIGHTS",
SONG_BETTE_DAVIS_EYES,"Bette Davis Eyes","ERA_SPEAK_NOW","Cover"
SONG_BETTER_MAN,"Better Man","ERA_RED","From The Vault"
SONG_BETTER_THAN_REVENGE,"Better Than Revenge","ERA_SPEAK_NOW",
SONG_BETTY,"betty","ERA_FOLKLORE",
SONG_BLANK_SPACE,"Blank Space","ERA_1989",
SONG_BREATHE,"Breathe","ERA_FEARLESS",
SONG_BUT_DADDY_I_LOVE_HIM,"But Daddy I Love Him","ERA_TTPD",
SONG_BYE_BYE_BABY,"Bye Bye Baby","ERA_FEARLESS","From The Vault"
SONG_CALL_IT_WHAT_YOU_WANT,"Call It What You Want","ERA_REPUTATION",
SONG_CARDIGAN,"cardigan","ERA_FOLKLORE",
SONG_CASSANDRA,"Cassandra","ERA_TTPD",
SONG_CASTLES_CRUMBLING,"Castles Crumbling","ERA_SPEAK_NOW","From The Vault"
SONG_CHAMPAGNE_PROBLEMS,"champagne problems","ERA_EVERMORE",
SONG_CHANGE,"Change","ERA_FEARLESS",
SONG_CHLOE_SAM_SOPHIA_MARCUS,"Chloe or Sam or Sophia or Marcus","ERA_TTPD",
SONG_CLARA_BOW,"Clara Bow","ERA_TTPD",
SONG_CLEAN,"Clean","ERA_1989",
SONG_CLOSURE,"closure","ERA_EVERMORE",
SONG_COLD_AS_YOU,"Cold as You","ERA_TS",
SONG_COME_BACK_BE_HERE,"Come Back… Be Here","ERA_RED","Original Deluxe Track"
SONG_COME_IN_WITH_THE_RAIN,"Come In With the Rain","ERA_FEARLESS","Original Platinum Track"
SONG_CONEY_ISLAND,"coney island","ERA_EVERMORE",
SONG_CORNELIA_STREET,"Cornelia Street","ERA_LOVER",
SONG_COWBOY_LIKE_ME,"cowboy like me","ERA_EVERMORE",
SONG_CRUEL_SUMMER,"Cruel Summer","ERA_LOVER",
SONG_DANCING_WITH_OUR_HANDS_TIED,"Dancing With Our Hands Tied","ERA_REPUTATION",
SONG_DAYLIGHT,"Daylight","ERA_LOVER",
SONG_DEAR_JOHN,"Dear John","ERA_SPEAK_NOW",
SONG_DEATH_BY_A_THOUSAND_CUTS,"Death by a Thousand Cuts","ERA_LOVER",
SONG_DELICATE,"Delicate","ERA_REPUTATION",
SONG_DONT_BLAME_ME,"Don’t Blame Me","ERA_REPUTATION",
SONG_DONT_YOU,"Don’t You","ERA_FEARLESS","From The Vault"
SONG_DOROTHEA,"dorothea","ERA_EVERMORE",
SONG_DOWN_BAD,"Down Bad","ERA_TTPD",
SONG_DRESS,"Dress","ERA_REPUTATION",
SONG_DROPS_OF_JUPITER,"Drops of Jupiter","ERA_SPEAK_NOW","Cover"
SONG_ELECTRIC_TOUCH,"Electric Touch","ERA_SPEAK_NOW","From The Vault"
SONG_ENCHANTED,"Enchanted","ERA_SPEAK_NOW",
SONG_END_GAME,"End Game","ERA_REPUTATION",
SONG_EPIPHANY,"epiphany","ERA_FOLKLORE",
SONG_EVERMORE,"evermore","ERA_EVERMORE",
SONG_EVERYTHING_HAS_CHANGED,"Everything Has Changed","ERA_RED",
SONG_EXILE,"exile","ERA_FOLKLORE",
SONG_FALSE_GOD,"False God","ERA_LOVER",
SONG_FEARLESS,"Fearless","ERA_FEARLESS",
SONG_FIFTEEN,"Fifteen","ERA_FEARLESS",
SONG_FLORIDA,"Florida!!!","ERA_TTPD",
SONG_FOOLISH_ONE,"Foolish One","ERA_SPEAK_NOW","From The Vault"
SONG_FOREVER_AND_ALWAYS,"Forever & Always","ERA_FEARLESS",
SONG_FOREVER_WINTER,"Forever Winter","ERA_RED","From The Vault"
SONG_FORTNIGHT,"Fortnight","ERA_TTPD",
SONG_FRESH_OUT_THE_SLAMMER,"Fresh Out the Slammer","ERA_TTPD",
SONG_GETAWAY_CAR,"Getaway Car","ERA_REPUTATION",
SONG_GIRL_AT_HOME,"Girl at Home","ERA_RED","Original Deluxe Track"
SONG_GOLD_RUSH,"gold rush","ERA_EVERMORE",
SONG_GORGEOUS,"Gorgeous","ERA_REPUTATION",
SONG_GUILTY_AS_SIN,"Guilty as Sin?","ERA_TTPD",
SONG_HAPPINESS,"happiness","ERA_EVERMORE",
SONG_HAUNTED,"Haunted","ERA_SPEAK_NOW",
SONG_HEY_STEPHEN,"Hey Stephen","ERA_FEARLESS",
SONG_HOAX,"hoax","ERA_FOLKLORE",
SONG_HOLY_GROUND,"Holy Ground","ERA_RED",
SONG_HOW_DID_IT_END,"How Did It End?","ERA_TTPD",
SONG_HOW_YOU_GET_THE_GIRL,"How You Get the Girl","ERA_1989",
